GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Bank Card Management System,com.example.bankcards.exception,EncryptionException,5,0,0,0,2,0,1,0,1,0
Bank Card Management System,com.example.bankcards.exception,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
Bank Card Management System,com.example.bankcards.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
Bank Card Management System,com.example.bankcards.exception,CardNotFoundException,0,4,0,0,0,2,0,1,0,1
Bank Card Management System,com.example.bankcards.exception,ErrorResponse.ErrorResponseBuilder,45,0,0,0,1,0,7,0,7,0
Bank Card Management System,com.example.bankcards.exception,ErrorResponse,194,0,32,0,6,0,30,0,14,0
Bank Card Management System,com.example.bankcards.exception,InsufficientFundsException,0,4,0,0,0,2,0,1,0,1
Bank Card Management System,com.example.bankcards.exception,CardOperationException,4,0,0,0,2,0,1,0,1,0
Bank Card Management System,com.example.bankcards.exception,GlobalExceptionHandler,116,35,0,0,40,7,5,4,5,4
Bank Card Management System,com.example.bankcards.controller,AuthController,0,18,0,0,0,3,0,3,0,3
Bank Card Management System,com.example.bankcards.controller,AuditController,0,28,0,0,0,5,0,3,0,3
Bank Card Management System,com.example.bankcards.controller,AdminCardController,0,56,0,0,0,14,0,6,0,6
Bank Card Management System,com.example.bankcards.controller,UserCardController,18,71,0,0,4,16,1,6,1,6
Bank Card Management System,com.example.bankcards.config,JwtAuthenticationFilter,110,13,16,0,30,2,9,2,1,2
Bank Card Management System,com.example.bankcards.config,ApplicationConfig,0,22,0,0,0,8,0,3,0,3
Bank Card Management System,com.example.bankcards.config,SecurityConfig,0,112,0,0,0,21,0,7,0,7
Bank Card Management System,com.example.bankcards.specification,BankCardSpecification,61,0,8,0,9,0,13,0,9,0
Bank Card Management System,com.example.bankcards.service,JwtService,99,3,4,0,25,1,12,1,10,1
Bank Card Management System,com.example.bankcards.service,AuditService,82,122,10,6,20,35,11,7,4,6
Bank Card Management System,com.example.bankcards.service,AuditService.EntityTypes,3,0,0,0,1,0,1,0,1,0
Bank Card Management System,com.example.bankcards.service,CustomUserDetailsService,66,6,2,0,18,1,5,1,4,1
Bank Card Management System,com.example.bankcards.service,AuditService.Actions,3,0,0,0,1,0,1,0,1,0
Bank Card Management System,com.example.bankcards.service,CardService,319,473,27,13,70,96,31,19,15,15
Bank Card Management System,com.example.bankcards.service,AuthenticationService,26,191,5,3,5,47,4,4,1,3
Bank Card Management System,com.example.bankcards,Application,5,3,0,0,2,1,1,1,1,1
Bank Card Management System,com.example.bankcards.entity,CardTransaction.TransactionStatus,0,21,0,0,0,2,0,1,0,1
Bank Card Management System,com.example.bankcards.entity,AuditLog.AuditLogBuilder,20,70,0,0,0,1,1,11,1,11
Bank Card Management System,com.example.bankcards.entity,User.UserBuilder,28,63,0,2,0,1,3,9,3,8
Bank Card Management System,com.example.bankcards.entity,Card,428,103,96,2,0,17,61,19,12,19
Bank Card Management System,com.example.bankcards.entity,Card.CardStatus,0,21,0,0,0,2,0,1,0,1
Bank Card Management System,com.example.bankcards.entity,User,311,86,66,0,0,18,44,18,11,18
Bank Card Management System,com.example.bankcards.entity,CustomUserDetails,22,12,0,0,6,4,3,1,3,1
Bank Card Management System,com.example.bankcards.entity,CardTransaction,272,38,55,1,7,7,43,5,15,5
Bank Card Management System,com.example.bankcards.entity,Card.CardBuilder,24,84,0,0,0,1,1,13,1,13
Bank Card Management System,com.example.bankcards.entity,CardTransaction.CardTransactionBuilder,19,44,0,0,0,1,2,7,2,7
Bank Card Management System,com.example.bankcards.entity,User.Role,0,15,0,0,0,2,0,1,0,1
Bank Card Management System,com.example.bankcards.entity,AuditLog,365,68,78,0,1,14,52,13,13,13
Bank Card Management System,com.example.bankcards.dto.filter,CardFilter,184,11,38,0,4,1,29,3,10,3
Bank Card Management System,com.example.bankcards.service.encryption,EncryptionService,165,0,4,0,34,0,7,0,5,0
Bank Card Management System,com.example.bankcards.dto.response,BankCardResponse,331,55,70,0,2,10,48,10,13,10
Bank Card Management System,com.example.bankcards.dto.response,AuthResponse,303,51,62,0,2,9,44,10,13,10
Bank Card Management System,com.example.bankcards.dto.response,BankCardResponse.BankCardResponseBuilder,28,53,0,0,0,1,3,8,3,8
Bank Card Management System,com.example.bankcards.dto.response,AuthResponse.AuthResponseBuilder,26,66,2,2,0,1,4,8,2,8
Bank Card Management System,com.example.bankcards.dto.request,LoginRequest,111,17,22,0,2,4,17,5,6,5
Bank Card Management System,com.example.bankcards.dto.request,CardTransferRequest,147,24,30,0,2,5,21,7,6,7
Bank Card Management System,com.example.bankcards.dto.request,CreateCardRequest,230,75,54,0,0,10,31,16,4,16
Bank Card Management System,com.example.bankcards.dto.request,CreateCardRequest.CreateCardRequestBuilder,14,59,0,2,0,1,1,9,1,8
Bank Card Management System,com.example.bankcards.dto.request,RegisterRequest,183,36,38,0,1,7,25,10,6,10
Bank Card Management System,com.example.bankcards.dto.request,LoginRequest.LoginRequestBuilder,27,0,0,0,1,0,5,0,5,0
Bank Card Management System,com.example.bankcards.dto.request,CardTransferRequest.CardTransferRequestBuilder,36,0,0,0,1,0,6,0,6,0
Bank Card Management System,com.example.bankcards.dto.request,RegisterRequest.RegisterRequestBuilder,55,0,2,0,1,0,8,0,7,0
